Lemma,Language Code,Lexical Category,Definition
အခိၚ်လဵုအခါလဵုဒှ်ဒှ်,mnw,noun,"(n) whenever, at any time, regardless of time, every time that, as often as. [id.] ဇဖန်။"
အခိၚ်အခါ,mnw,,"[id] odds, probability or chance {that a certain thing will or will not happen}."
အခိၚ်အခါဟွံလံ,mnw,adverb,(adv) presently.
အခိၚ်အိုတ်,mnw,verb,"(v) be a waste of time, waste time."
အခိၚ်ဥတုရာသဳက္ညၚ်,mnw,noun,(n) springtime.
အခိၚ်ၝောံမၞိဟ်တိက်,mnw,noun,(n) time when old people go to bed {ie. about ten pm}.
အခိပ်,mnw,noun,(n) a person who has a broken tooth.
အခိုက်,mnw,noun,"(n) habit, individual custom; way, manner, usage, precedent, trait, practice."
အခိုက်,mnw,noun,အဲဒက်လဝ်အခိုက်ဂၠဴဏောၚ် (n) I will tether it the same way as the bullocks.
အခိုက်,mnw,noun,အဲဒှ်ဒၟံၚ်အခိုက်ေဂတ်ကွာန်ရိုဟ်သဝ်တ္ၚဲ (n) I am in the habit of taking a stroll round the village every evening.
အခိုက်,mnw,noun,သ္ဂးအခိုက်ဂှ်တုဲ (n) so saying.
အခိုက်,mnw,noun,သုၚ်အရက်အခိုက်ပိုဲဟွံသေၚ် (n) it is not our custom to drink spirits.
အခိုက်ကၞာ,mnw,noun,"(n) habit, manner, way of doing things, tradition, precedent, hereditary rites, customs, clan traditionally worshipped."
အခိုက်ကၞာ,mnw,noun,"အခိုက်ကၞာမကေတ်ဗြဴဂၠိုၚ်နူကဵုမွဲ (n) poly-gamy, custom of having more than one wife at the same time."
အခိုက်ကၞာ,mnw,noun,"အခိုက်အကၞာမဒှ်ကၠုၚ်နူတမၠာတေံ (n) precedent, earlier decision, case, event etc. That is regarded as an example or rule for what comes later. [id.] အခိုက်ကၞာမသ္ဂုတ်သွာတ်ကၠုၚ်လဝ် နူတမၠာတေံ(အ်)၊ နဲ(ယ်)၊ ပုံသက်သဳ။"
အခိုက်အလိုက်,mnw,adverb,"(adv) in its proper place, exactly, perfectly. [id.] အကေၚ်၊ ဒ္ဂေတ်။"
အခိုၚ်,mnw,noun,"(n) firmness.(adv) firmly, in a firm way, securely, strongly."
အခိုၚ်အနိၚ်,mnw,adverb,"(adv) by force, forcibly, against one’s will, under duress. [Cf.] အခိုၚ်အနှိၚ်။"
အခိုအ်,mnw,noun,"(n) a person who always contradicts others, habitual objector."
အခုန်,mnw,noun,"(n) unsatisfied person, a man who being conciliated."
အခေၚ်,mnw,noun,"(num. aux) corps {of troop} {as in}  အခေၚ်ပၞာန် (n) combat arms, consisting of elephant corps, the cavalry, the chariots and the infantry during ancient times. [id.] အၚ်္ဂ။"
အခေါၚ်,mnw,noun,"(n) permission, pardon, privilege chance, opportunity."
အခေါၚ်,mnw,noun,အာတ်အခေါၚ် (n) to ask permission.အာတ်အခေါၚ်ပ္ဍဲအ္စာ (n) to ask the teacher’s permission.
အခေါၚ်,mnw,noun,"ကဵုအခေါၚ် (n) give permission, give pardon, give forgive.ဂွံခေါၚ် (v) get permission.သၠးခေါၚ် (n) to pardon. [Cf.] အမိၚ်၊ အသံ။"
အခေါၚ်ခိုဟ်,mnw,noun,(n) good opportunity.
အခေါၚ်ဂပ်ဝ်,mnw,noun,"(n) {of circumstance} permit, allow, favour, opportunity."
အခေါၚ်ဂွံဒုၚ်စဂုဏ်ဖဵု,mnw,noun,(n) benefit.
အခေါၚ်တၟေၚ်,mnw,noun,"(n) privilege, special right or advantage available only to a particular person, class or rank, or to holder of a certain position."
အခေါၚ်ဒးရး,mnw,noun,"(n) favour, opportunity."
အခေါၚ်ပိုၚ်ပြဳ,mnw,noun,"(n) right to own title, title {to a property}."
အခေါၚ်ဗလးခေါန်,mnw,noun,(n) exemption.
အခေါၚ်ဗၠးၜး,mnw,noun,"(n) freedom, permission of freedom, right to freedom, right of freedom. [id.] စမၠး၊ ပေရၚ်ဗၠးၜး၊ ပွမဗၠးၜး။"
အခေါၚ်ဗၠးၜးၜိုဟ်သြိုဟ်တိတ်နူဒဒိုက်,mnw,noun,"(n) amnesty, general pardon, [esp.] offences against the state."
အခေါၚ်မစ္ၜုဲစ္ၜော်ပေရၚ်ဍုၚ်ကွာန်,mnw,noun,(n) political asylum.
အခေါၚ်ဟွံရန်တၟံ,mnw,noun,(n) casual leave.
အခေါၚ်အခါ,mnw,noun,"(n) favourable time, opportune moment."
အခေါၚ်အယုက်ကမၠောန်,mnw,noun,"(n) leave calculated on length of service, vocation."
အခေါၚ်အဝဵု,mnw,noun,"(n) right, chance, opportunity, influence, authority, power."
အခေါၚ်အဝဵု,mnw,noun,"အခေါၚ်အဝဵုမသ္ဂုတ်သွာတ်မာန်နအလိုက်ဇကုကဵုဇကု (n) self-determination, right of a nation, people, etc. to decide what form of government it will have or whether it will be independent of another country or not. [id.] အခေါၚ်အဝဵုမစၟိန်ပြမာန်နအလိုက်ဇကုကဵုဇကု။"
အခေါၚ်အဝဵုကၠောန်မာန်,mnw,noun,(n) authority to act.
အခေါၚ်အဝဵုမပိုၚ်ပြဳတံလိက်,mnw,noun,"(n) copyright, patent, owner of a copyright of patent. [id.] ဒဒှ်မနွံကဵုအခေါၚ်မပိုၚ်ပြဳတံလိက်၊ ပွမသ္ပတံလိက်သွက်ဂွံပိုၚ်ပြဳ။"
အခေါၚ်အဝဵုဟီုဂး,mnw,noun,(n) authority {on behalf of someone or somebody}.
အခေါၚ်ၜံၚ်ပၟတ်ပၞာၚ်,mnw,noun,(n) maternity leave.
အခေါန်,mnw,noun,"(n) tax, tax on paddy land, land revenue. [esp.] land tax, revenue, duty, toll."
အခေါန်ဍာ်,mnw,noun,(n) water rate or tax.
အခေါန်တိ,mnw,noun,(n) land tax.
အခေါန်ဖလှာ,mnw,noun,"(n) revenue, tribute."
အခေါန်မၞိဟ်,mnw,noun,"(n) capitation, poll tax."
အခေါန်ရုၚ်,mnw,noun,"(n) court fee, revenue, stamp fee. [id.] ခေါန်ဖလှာကံက်ကေတ်လ္တုမၞိဟ်။"
အခေါန်အဒါန်,mnw,noun,"(n) tax, tax payer."
အခေါဘနဳ,mnw,adjective,(adj.) immeasurable.
အခေဲါ,mnw,noun,(n) a person who has scars of burning on limb.
အချဴ,mnw,noun,(n) red ant. [Cf.] ခၟောတ်၊ ဂြုန်။
အခြၚ်,mnw,noun,"(n) conditions, circumstance, situation, state, status, sound."
အခြၚ်,mnw,noun,အခြၚ်ဒှ်ဨကရာဇ် မၚ်ဗၠာဲဂှ်ဟွံတီ (n) the young man did not know that he was king.
အခြာ,mnw,noun,(n) demarcation by space or time.
အခြာ,mnw,noun,"အပိုၚ်အခြာ (n) distinction, differentiation."
အခြာ,mnw,noun,ဟီုအေရဝ်အခြာ (n) matters of negotiation.ဟီုအရေဝ်အခြာ (v) to talk business.
အခၟမန်,mnw,noun,(n) name of a famous Mon who was employed as a servant to the Burmese king in Mon history.
အခၠေဝ်,mnw,noun,"(n) rebuttal, rejoinder."
အဂတိ,mnw,noun,"(n) partiality {particularly in the dispensation of justice}, wrong course, evil course or state."
အဂတိ,mnw,verb,ဗက်စအဂတိ (v) show partiality in the dispensation of justice.
အဂတိပန်,mnw,noun,"(n) the four wrong ways, [ie.] lust, hatred, ignorance and fear."
အဂီု,mnw,noun,"(n) [P. agomo] fable, short tale, sacred book, scriptures, doctrine, old wives tale."
အဂီုဝၚ်,mnw,noun,(n) historical tale.
အဂ္ဂ,mnw,adjective,(adj.) [P.] great.
အဂ္ဂ,mnw,noun,"အဂ္ဂမဟေသဳ (n) [P.] king’s wife, chief queen."
အဂ္ဂမဟာပဏ္ဍိတ,mnw,noun,"(n) [P.] the Agga Maha Pandita title presented by the government to a monk or person for his impeccable morals, through knowledge of the Tipitakas and authoriship of Buddhist religious tracks."
အဂ္ဂမဟေသဳ,mnw,noun,(n) king’s wife. [id] ဂၞကျာ်ဨကရာဇ်။
အဂ္ဂိ,mnw,noun,(n) [P.] fire.
အဂ္ဂိယျ,mnw,noun,(n) [LF] alchemy.
အဂ္ဂိယျ,mnw,noun,ထ္ပက်အဂ္ဂိယျ (n) to practice alchemy.
အဂ္ဂိရာတ်,mnw,noun,(n) alchemy. [id] ဓၟုၚ်။
အဂြၚ်,mnw,noun,(n) locust.
အဂြံ,mnw,noun,အဂြအ် (n) green bee-eater. [id.] ဂစေံအဂြအ်။ [colloq] ဟဂြအ်။
အဂွာန်,mnw,noun,(n) king crab.
အဂှ်,mnw,noun,(pron. adj.) that.
အဂှ်,mnw,noun,နွံအဂှ်ဟာ (pron. adj.) is that here?
အဂၞု,mnw,noun,"(n) hardwood every green tree, bearing sweet scented white blossoms with yellow stamens {the stamen of the flowers are used in medicine}. Mesua feerea."
အဂၞု,mnw,noun,ကြေၚ်အဂၞု (n) Eugenia operculata tree.  တၞံအဂၞု (n) Mesua ferrea. [Syn.] အနှု။
